nOk	nBad	nSkipped	Trio	Reference	Merge	Variants	MendErr
330238	9632	0	HG00732,HG00731,HG00733	hg19	exact	all	0.028340247741783623
325988	13882	0	HG00513,HG00512,HG00514	hg19	exact	all	0.04084502898166946
328238	11632	0	NA19238,NA19239,NA19240	hg19	exact	all	0.03422485067820049
36558	9151	0	HG00732,HG00731,HG00733	hg19	exact	present	0.2002012732722221
34991	13370	0	HG00513,HG00512,HG00514	hg19	exact	present	0.2764624387419615
45586	11142	0	NA19238,NA19239,NA19240	hg19	exact	present	0.19641094344944296
187983	2895	0	HG00732,HG00731,HG00733	hg19	truvari	all	0.015166755728790117
187107	3771	0	HG00513,HG00512,HG00514	hg19	truvari	all	0.019756074560714175
187847	3031	0	NA19238,NA19239,NA19240	hg19	truvari	all	0.015879252716394766
35948	2568	0	HG00732,HG00731,HG00733	hg19	truvari	present	0.06667359019628206
34984	3413	0	HG00513,HG00512,HG00514	hg19	truvari	present	0.0888871526421335
44764	2690	0	NA19238,NA19239,NA19240	hg19	truvari	present	0.05668647532347115
123061	2780	0	HG00732,HG00731,HG00733	hg19	jasmine	all	0.022091369267567804
122270	3571	0	HG00513,HG00512,HG00514	hg19	jasmine	all	0.028377079012404542
123127	2714	0	NA19238,NA19239,NA19240	hg19	jasmine	all	0.021566897910855764
35965	2507	0	HG00732,HG00731,HG00733	hg19	jasmine	present	0.06516427531711375
34925	3267	0	HG00513,HG00512,HG00514	hg19	jasmine	present	0.08554147465437788
44142	2427	0	NA19238,NA19239,NA19240	hg19	jasmine	present	0.05211621464923018
70333	1512	0	HG00732,HG00731,HG00733	hg19	survivor	all	0.021045305866796576
70213	1632	0	HG00513,HG00512,HG00514	hg19	survivor	all	0.022715568237177255
70384	1461	0	NA19238,NA19239,NA19240	hg19	survivor	all	0.020335444359384787
25753	1291	0	HG00732,HG00731,HG00733	hg19	survivor	present	0.04773702115071735
24847	1380	0	HG00513,HG00512,HG00514	hg19	survivor	present	0.052617531551454606
31122	1226	0	NA19238,NA19239,NA19240	hg19	survivor	present	0.03790033386917275
103684	2075	0	HG00732,HG00731,HG00733	hg19	naive	all	0.019620079614973668
103129	2630	0	HG00513,HG00512,HG00514	hg19	naive	all	0.02486785994572566
103614	2145	0	NA19238,NA19239,NA19240	hg19	naive	all	0.020281961818852296
29298	1814	0	HG00732,HG00731,HG00733	hg19	naive	present	0.05830547698637182
28281	2337	0	HG00513,HG00512,HG00514	hg19	naive	present	0.07632765040172447
36090	1868	0	NA19238,NA19239,NA19240	hg19	naive	present	0.0492122872648717
337278	9880	0	HG00732,HG00731,HG00733	grch38	exact	all	0.02845966389943484
332941	14217	0	HG00513,HG00512,HG00514	grch38	exact	all	0.04095253458079606
335223	11935	0	NA19238,NA19239,NA19240	grch38	exact	all	0.03437915876920595
37299	9368	0	HG00732,HG00731,HG00733	grch38	exact	present	0.20074142327554803
35610	13688	0	HG00513,HG00512,HG00514	grch38	exact	present	0.2776583228528541
46412	11410	0	NA19238,NA19239,NA19240	grch38	exact	present	0.19732973608661064
192605	3100	0	HG00732,HG00731,HG00733	grch38	truvari	all	0.015840167599192663
191691	4014	0	HG00513,HG00512,HG00514	grch38	truvari	all	0.02051046217521269
192457	3248	0	NA19238,NA19239,NA19240	grch38	truvari	all	0.016596407858767023
36652	2758	0	HG00732,HG00731,HG00733	grch38	truvari	present	0.0699822380106572
35625	3655	0	HG00513,HG00512,HG00514	grch38	truvari	present	0.09304989816700611
45529	2888	0	NA19238,NA19239,NA19240	grch38	truvari	present	0.059648470578515814
126738	3006	0	HG00732,HG00731,HG00733	grch38	jasmine	all	0.023168701442841288
125949	3795	0	HG00513,HG00512,HG00514	grch38	jasmine	all	0.02924990751017388
126781	2963	0	NA19238,NA19239,NA19240	grch38	jasmine	all	0.022837279565914415
36642	2713	0	HG00732,HG00731,HG00733	grch38	jasmine	present	0.06893660271884132
35514	3485	0	HG00513,HG00512,HG00514	grch38	jasmine	present	0.08936126567347881
44898	2652	0	NA19238,NA19239,NA19240	grch38	jasmine	present	0.05577287066246057
72572	1716	0	HG00732,HG00731,HG00733	grch38	survivor	all	0.02309928925263838
72526	1762	0	HG00513,HG00512,HG00514	grch38	survivor	all	0.02371850096920095
72668	1620	0	NA19238,NA19239,NA19240	grch38	survivor	all	0.02180702132242085
26209	1483	0	HG00732,HG00731,HG00733	grch38	survivor	present	0.053553372815253505
25278	1511	0	HG00513,HG00512,HG00514	grch38	survivor	present	0.05640374780693568
31637	1368	0	NA19238,NA19239,NA19240	grch38	survivor	present	0.041448265414331165
107101	2278	0	HG00732,HG00731,HG00733	grch38	naive	all	0.020826666910467275
