nOk	nBad	nSkipped	Trio	Reference	Merge	Variants	MendErr
173763	4830	0	HG00732,HG00731,HG00733	hg19	exact	all	0.027044732996254053
171198	7395	0	HG00513,HG00512,HG00514	hg19	exact	all	0.04140699803463742
172273	6320	0	NA19238,NA19239,NA19240	hg19	exact	all	0.03538772516280033
36558	9151	0	HG00732,HG00731,HG00733	hg19	exact	present	0.2002012732722221
34991	13370	0	HG00513,HG00512,HG00514	hg19	exact	present	0.2764624387419615
45586	11142	0	NA19238,NA19239,NA19240	hg19	exact	present	0.19641094344944296
97466	509	0	HG00732,HG00731,HG00733	hg19	truvari	all	0.005195202857871906
97004	971	0	HG00513,HG00512,HG00514	hg19	truvari	all	0.009910691502934423
97297	678	0	NA19238,NA19239,NA19240	hg19	truvari	all	0.006920132686909926
35948	2568	0	HG00732,HG00731,HG00733	hg19	truvari	present	0.06667359019628206
34984	3413	0	HG00513,HG00512,HG00514	hg19	truvari	present	0.0888871526421335
44764	2690	0	NA19238,NA19239,NA19240	hg19	truvari	present	0.05668647532347115
35965	2507	0	HG00732,HG00731,HG00733	hg19	jasmine	present	0.06516427531711375
34925	3267	0	HG00513,HG00512,HG00514	hg19	jasmine	present	0.08554147465437788
44142	2427	0	NA19238,NA19239,NA19240	hg19	jasmine	present	0.05211621464923018
25753	1291	0	HG00732,HG00731,HG00733	hg19	survivor	present	0.04773702115071735
24847	1380	0	HG00513,HG00512,HG00514	hg19	survivor	present	0.052617531551454606
31122	1226	0	NA19238,NA19239,NA19240	hg19	survivor	present	0.03790033386917275
29298	1814	0	HG00732,HG00731,HG00733	hg19	naive	present	0.05830547698637182
28281	2337	0	HG00513,HG00512,HG00514	hg19	naive	present	0.07632765040172447
36090	1868	0	NA19238,NA19239,NA19240	hg19	naive	present	0.0492122872648717
174234	4821	0	HG00732,HG00731,HG00733	grch38	exact	all	0.02692468794504482
171682	7373	0	HG00513,HG00512,HG00514	grch38	exact	all	0.04117729189355226
172752	6303	0	NA19238,NA19239,NA19240	grch38	exact	all	0.03520147440730502
37299	9368	0	HG00732,HG00731,HG00733	grch38	exact	present	0.20074142327554803
35610	13688	0	HG00513,HG00512,HG00514	grch38	exact	present	0.2776583228528541
46412	11410	0	NA19238,NA19239,NA19240	grch38	exact	present	0.19732973608661064
97763	482	0	HG00732,HG00731,HG00733	grch38	truvari	all	0.004906102091709502
97251	994	0	HG00513,HG00512,HG00514	grch38	truvari	all	0.010117563234770217
97572	673	0	NA19238,NA19239,NA19240	grch38	truvari	all	0.006850221385312229
36652	2758	0	HG00732,HG00731,HG00733	grch38	truvari	present	0.0699822380106572
35625	3655	0	HG00513,HG00512,HG00514	grch38	truvari	present	0.09304989816700611
45529	2888	0	NA19238,NA19239,NA19240	grch38	truvari	present	0.059648470578515814
36642	2713	0	HG00732,HG00731,HG00733	grch38	jasmine	present	0.06893660271884132
35514	3485	0	HG00513,HG00512,HG00514	grch38	jasmine	present	0.08936126567347881
44898	2652	0	NA19238,NA19239,NA19240	grch38	jasmine	present	0.05577287066246057
26209	1483	0	HG00732,HG00731,HG00733	grch38	survivor	present	0.053553372815253505
25278	1511	0	HG00513,HG00512,HG00514	grch38	survivor	present	0.05640374780693568
31637	1368	0	NA19238,NA19239,NA19240	grch38	survivor	present	0.041448265414331165
29833	1999	0	HG00732,HG00731,HG00733	grch38	naive	present	0.06279844181955264
28763	2515	0	HG00513,HG00512,HG00514	grch38	naive	present	0.08040795447279238
36755	2076	0	NA19238,NA19239,NA19240	grch38	naive	present	0.05346243980324998
150132	3023	0	HG00732,HG00731,HG00733	chm13	exact	all	0.019738173745551892
148180	4975	0	HG00513,HG00512,HG00514	chm13	exact	all	0.032483431817439845
148529	4626	0	NA19238,NA19239,NA19240	chm13	exact	all	0.030204694590447587
34709	7689	0	HG00732,HG00731,HG00733	chm13	exact	present	0.18135289400443416
34311	10135	0	HG00513,HG00512,HG00514	chm13	exact	present	0.22802951896683615
46360	9431	0	NA19238,NA19239,NA19240	chm13	exact	present	0.16904160169202917
92926	463	0	HG00732,HG00731,HG00733	chm13	truvari	all	0.004957757337587939
92476	913	0	HG00513,HG00512,HG00514	chm13	truvari	all	0.009776311985351593
92775	614	0	NA19238,NA19239,NA19240	chm13	truvari	all	0.006574650119393077
33887	3942	0	HG00732,HG00731,HG00733	chm13	truvari	present	0.10420576806154008
33689	3828	0	HG00513,HG00512,HG00514	chm13	truvari	present	0.10203374470240158
45175	3516	0	NA19238,NA19239,NA19240	chm13	truvari	present	0.07221047010741205
33859	3693	0	HG00732,HG00731,HG00733	chm13	jasmine	present	0.09834363016616958
33650	3640	0	HG00513,HG00512,HG00514	chm13	jasmine	present	0.09761330115312417
44640	3202	0	NA19238,NA19239,NA19240	chm13	jasmine	present	0.06692864010701893
25232	2440	0	HG00732,HG00731,HG00733	chm13	survivor	present	0.08817577334489737
24869	1741	0	HG00513,HG00512,HG00514	chm13	survivor	present	0.06542653137918075
32370	1755	0	NA19238,NA19239,NA19240	chm13	survivor	present	0.05142857142857143
29577	3252	0	HG00732,HG00731,HG00733	chm13	naive	present	0.09905875902403363
29172	3088	0	HG00513,HG00512,HG00514	chm13	naive	present	0.09572225666460013
38740	2760	0	NA19238,NA19239,NA19240	chm13	naive	present	0.06650602409638554
