TP-base	TP-call	FP	FN	precision	recall	f1	base cnt	call cnt	TP-call_TP-gt	TP-call_FP-gt	TP-base_TP-gt	TP-base_FP-gt	gt_concordance	reference	pVCF merge	caller	sample
7713	7713	3148	14503	0.7101556026148605	0.34718221101908536	0.46636635728754117	22216	10861	4791	2922	4791	2922	0.8562167768702191	chm13	Truvari	biograph	HG00512
6963	6963	1504	17801	0.8223691980630684	0.2811742852527863	0.4190665342601788	24764	8467	4372	2591	4372	2591	0.8576762889559099	grch38	Truvari	manta	HG01505
8608	8608	1832	21363	0.8245210727969349	0.28721097060491807	0.4260226176041177	29971	10440	5123	3485	5123	3485	0.8438661710037175	grch38	Jasmine	manta	HG03486
6708	6708	2585	15525	0.7218336382223178	0.30171366887059775	0.42555351138742625	22233	9293	4047	2661	4047	2661	0.853309481216458	chm13	Jasmine	biograph	HG01505
6594	6594	4267	11827	0.6071264156155051	0.3579610227457793	0.45037907246772757	18421	10861	4240	2354	4240	2354	0.883833788292387	chm13	SURVIVOR	biograph	HG00512
8902	8902	5425	14507	0.6213443149298528	0.3802810884702465	0.4718041127835489	23409	14327	5437	3465	5437	3465	0.8595821163783419	hg19	SURVIVOR	biograph	HG03486
9200	9200	3895	15776	0.7025582283314242	0.3683536194746957	0.4833075043996743	24976	13095	5681	3519	5681	3519	0.8398913043478261	hg19	Jasmine	biograph	HG00733
6979	6979	1910	15087	0.7851276859039262	0.31627843741502765	0.4509126150864158	22066	8889	4476	2503	4476	2503	0.8667430864020633	grch38	Naive	manta	HG00096
7047	7047	2656	14436	0.7262702257033907	0.32802681189777966	0.45193355993073814	21483	9703	4215	2832	4215	2832	0.8531289910600255	chm13	Truvari	biograph	NA20509
6750	6750	1817	15317	0.7879070853274192	0.305886618026918	0.4406868185676046	22067	8567	4353	2397	4353	2397	0.88	grch38	Naive	manta	HG00171
8456	8456	2082	21101	0.8024293034731448	0.28609128125317185	0.42179822920563664	29557	10538	5060	3396	5060	3396	0.8366840113528855	grch38	Jasmine	manta	HG03065
6060	6060	3643	11856	0.6245491085231372	0.3382451440053583	0.4388283428074876	17916	9703	3765	2295	3765	2295	0.8843234323432343	chm13	SURVIVOR	biograph	NA20509
9278	9278	3817	15698	0.7085147002672776	0.3714766175528507	0.4874051115021933	24976	13095	5708	3570	5708	3570	0.8373571890493641	hg19	BCFtools	biograph	HG00733
